JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Telaah Bisnis,Akademi Manajemen Perusahaan YKPN,Indonesia,No,NA,,2013,Indonesian,Blind peer review,NA,24,CC BY,False,No
Jurnal Hama dan Penyakit Tumbuhan Tropika,Universitas Lampung,Indonesia,Yes,NA,DOI,2001,"English, Indonesian",Double blind peer review,NA,24,CC BY-NC,False,No
Jurnal Manajemen Indonesia,Telkom University,Indonesia,No,NA,DOI,2014,Indonesian,Double blind peer review,Yes,8,CC BY-SA,True,No
Ta'dib: Jurnal Pendidikan Islam,Universitas Islam Bandung,Indonesia,Yes,NA,,2001,Indonesian,Peer review,NA,24,CC BY-NC-SA,False,No
Jurnal Ilmu Sosial,Universitas Diponegoro,Indonesia,Yes,NA,,2006,Indonesian,Peer review,NA,24,CC BY-NC-ND,False,No
Jurnal Elektronika dan Telekomunikasi,Indonesian Institute of Sciences,Indonesia,No,NA,DOI,2013,English,Double blind peer review,Yes,10,CC BY-NC-SA,False,No
Jurnal Veteriner,Universitas Udayana,Indonesia,Yes,NA,,2000,"English, Indonesian",Peer review,NA,24,CC BY,False,No
Jurnal Natural,Universitas Syiah Kuala,Indonesia,Yes,NA,,2011,Indonesian,Double blind peer review,Yes,12,CC BY,True,No
"Media Riset Akuntansi, Auditing & Informasi",Lembaga Penerbit Fakultas Ekonomi dan Bisnis (LPFEB),Indonesia,No,NA,DOI,2001,"English, Indonesian",Blind peer review,Yes,24,CC BY-NC,False,No
Emitor,Muhammadiyah University Press,Indonesia,No,NA,,2001,Indonesian,Blind peer review,NA,24,CC BY,False,No
Indonesian Journal of Chemistry,Universitas Gadjah Mada,Indonesia,Yes,NA,DOI,2001,"English, Indonesian",Blind peer review,Yes,15,CC BY-SA,False,No
Jurnal Ergonomi Indonesia,Universitas Udayana,Indonesia,Yes,NA,,2015,"English, Indonesian",Peer review,NA,24,CC BY,False,No
Perspektif Hukum Journal,Hang Tuah University,Indonesia,No,NA,,2012,Indonesian,Peer review,Yes,5,CC BY,False,No
Ijtihad: Jurnal Wacana Hukum Islam dan Kemanusiaan,Institut Agama Islam Negeri (IAIN) Salatiga,Indonesia,No,NA,,2012,"Arabic, English, Indonesian",Peer review,NA,24,CC BY-SA,False,No
Indonesian Journal of Agricultural Science,Indonesian Center for Agricultural Library and Technology Dissemination,Indonesia,No,NA,,2001,English,Peer review,NA,12,CC BY-SA,False,No
Biodiversitas,MBI & UNS Solo,Indonesia,Yes,NA,DOI,2000,English,Double blind peer review,NA,6,CC BY-NC-SA,False,No
Al-Ulum,Institut Agama Islam Negeri (IAIN) Sultan Amai Gorontalo,Indonesia,Yes,NA,,2011,"English, Indonesian",Peer review,NA,10,CC BY-SA,False,No
Berkala Kedokteran,Universitas Lambung Mangkurat,Indonesia,No,NA,,2015,Indonesian,Peer review,NA,24,CC BY,False,No
Jurnal Perencanaan Wilayah dan Kota,Universitas Islam Bandung,Indonesia,No,NA,,2010,"English, Indonesian",Peer review,NA,24,CC BY-NC-SA,False,No
Jurnal Pendidikan Bahasa dan Sastra,Universitas Pendidikan Indonesia,Indonesia,No,NA,DOI,2013,"English, Indonesian",Double blind peer review,Yes,16,CC BY-SA,True,No
Jurnal Ushuluddin,Universitas Islam Negeri Sultan Syarif Kasim Riau,Indonesia,No,NA,,2010,Indonesian,Blind peer review,Yes,10,CC BY,False,No
Jurnal Pengajaran MIPA,Universitas Pendidikan Indonesia,Indonesia,Yes,NA,,2014,"English, Indonesian",Peer review,Yes,24,CC BY-SA,False,No
Jurnal Udayana Mengabdi,Universitas Udayana,Indonesia,Yes,NA,,2006,"English, Indonesian",Peer review,NA,24,CC BY,False,No
JKS (Jurnal Kedokteran Syiah Kuala),Syiah Kuala University,Indonesia,No,NA,DOI,2005,"English, Indonesian",Double blind peer review,Yes,12,CC BY,True,No
Logic,Politeknik Negeri Bali,Indonesia,No,NA,,2016,Indonesian,Peer review,NA,24,CC BY,False,No
Jurnal Ilmiah Islam Futura,Universitas Islam Negeri Ar-Raniry,Indonesia,No,NA,,2011,"Arabic, Indonesian",Double blind peer review,Yes,20,CC BY,False,No
"Journal the Winners: Economics, Business, Management, and Information System Journal",Bina Nusantara University,Indonesia,No,NA,,2005,"English, Indonesian",Blind peer review,NA,24,CC BY-SA,False,No
AGRISE,University of Brawijaya,Indonesia,No,NA,DOI,2008,English,Peer review,Yes,24,CC BY-NC,True,No
Intizar,Universitas Islam Negeri Raden Fatah Palembang,Indonesia,No,NA,,2015,Indonesian,Blind peer review,NA,15,CC BY-SA,False,No
Jurnal Manajemen Teknologi,Institut Teknologi Bandung,Indonesia,No,NA,DOI,2002,"English, Indonesian",Double blind peer review,Yes,14,CC BY-SA,False,No
Jurnal Ilmu Ekonomi dan Pembangunan,Universitas Sebelas Maret,Indonesia,No,NA,"DOI, Doc",2014,"English, Indonesian",Double blind peer review,NA,4,CC BY-NC-ND,True,No
Litera,Universitas Negeri Yogyakarta,Indonesia,No,NA,,2003,Indonesian,Double blind peer review,NA,16,CC BY-SA,False,No
Dinamika Penelitian: Media Komunikasi Penelitian Sosial Keagamaan,State Institute of Islamic Studies (IAIN) Tulungagung,Indonesia,No,NA,DOI,2016,Indonesian,Peer review,Yes,1,CC BY,False,No
Jurnal Visi Komunikasi,Universitas Mercu Buana Jakarta,Indonesia,No,NA,,2013,Indonesian,Peer review,NA,24,CC BY,False,No
Nalars,Universitas Muhammadiyah Jakarta,Indonesia,Yes,NA,DOI,2014,Indonesian,Peer review,NA,18,CC BY-NC,False,No
"Celt: A Journal of Culture, English Language Teaching & Literature",Soegijapranata Catholic University,Indonesia,Yes,NA,,2004,English,Double blind peer review,NA,48,CC BY,False,No
Sains Tanah: Journal of Soil Science and Agroclimatology,Sebelas Maret University,Indonesia,Yes,NA,DOI,2001,Indonesian,Blind peer review,Yes,8,CC BY,False,No
Wardah,Universitas Islam Negeri Raden Fatah Palembang,Indonesia,No,NA,,2015,Indonesian,Blind peer review,NA,16,CC BY-SA,False,No
Jurnal Pendidikan Ilmu Sosial,Muhammadiyah University Press,Indonesia,No,NA,,2012,"English, Indonesian",Peer review,NA,24,CC BY,False,No
Jurnal Ekologi Kesehatan,Badan Penelitian dan Pengembangan Kesehatan,Indonesia,No,NA,,2002,"English, Indonesian",Peer review,Yes,4,CC BY-SA,False,No
Jurnal Rekayasa Elektrika,Universitas Syiah Kuala,Indonesia,Yes,NA,DOI,2010,"English, Indonesian",Double blind peer review,Yes,24,CC BY-SA,False,No
Jurnal Ilmiah Agribisnis,Universitas Lancang Kuning,Indonesia,Yes,NA,,2015,Indonesian,Blind peer review,NA,14,CC BY-NC-ND,False,No
Jurnal Kesehatan Lingkungan Indonesia,Universitas Diponegoro,Indonesia,No,NA,DOI,2012,Indonesian,Blind peer review,NA,24,CC BY-SA,False,No
Matematika ,Universitas Islam Bandung,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,NA,24,CC BY-NC-SA,False,No
Jurnal Rekayasa Kimia & Lingkungan,Syiah Kuala University,Indonesia,Yes,NA,,2006,Indonesian,Double blind peer review,NA,8,CC BY-SA,False,No
Jurnal Akuakultur Indonesia,Asosiasi Sains Akuakultur Indonesia,Indonesia,Yes,NA,DOI,2002,"English, Indonesian",Double blind peer review,NA,12,CC BY-SA,True,No
Jurnal Penelitian Pendidikan,Universitas Pendidikan Indonesia,Indonesia,Yes,NA,,2013,Indonesian,Blind peer review,NA,12,CC BY-SA,True,No
Juris (Jurnal Ilmiah Syariah),Sekolah Tinggi Agama Islam Negeri Batusangkar,Indonesia,No,NA,,2015,Indonesian,Double blind peer review,Yes,8,CC BY-NC-ND,True,No
Jurnal Adabiyah,Fakultas Adab dan Humaniora,Indonesia,No,NA,DOI,2010,"Arabic, English, Indonesian",Blind peer review,Yes,4,CC BY-NC-SA,True,No
Jurnal Matematika Integratif ,"Department of Mathematics, FMIPA, Universitas Padjadjaran",Indonesia,Yes,NA,DOI,2013,Indonesian,Blind peer review,Yes,12,CC BY-SA,False,No
JUTI: Jurnal Ilmiah Teknologi Informasi,Institut Teknologi Sepuluh Nopember,Indonesia,No,NA,DOI,2002,"English, Indonesian",Blind peer review,NA,12,CC BY-SA,False,No
Jurnal Akuntansi dan Auditing,Universitas Diponegoro,Indonesia,No,NA,,2010,"English, Indonesian",Double blind peer review,Yes,10,CC BY,False,No
Jurnal Hukum Novelty,Universitas Ahmad Dahlan,Indonesia,No,NA,,2016,Indonesian,Double blind peer review,Yes,24,CC BY,False,No
Jurnal Ilmiah Teknik Industri,Muhammadiyah University Press,Indonesia,No,NA,,2012,"English, Indonesian",Blind peer review,NA,10,CC BY,False,No
Al-Tahrir,Sekolah Tinggi Agama Islam Negeri Ponorogo,Indonesia,Yes,NA,,2011,Indonesian,Double blind peer review,Yes,22,CC BY-NC,True,No
Jurnal Administrasi Pendidikan,Universitas Pendidikan Indonesia,Indonesia,Yes,NA,,2011,Indonesian,Blind peer review,Yes,12,CC BY-SA,True,No
Etikonomi,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Indonesia,No,NA,DOI,2012,"English, Indonesian",Double blind peer review,NA,12,CC BY,False,No
Humanika,Diponegoro University,Indonesia,No,NA,,2012,"English, Indonesian",Peer review,Yes,24,CC BY-SA,False,No
Al-Banjari: Jurnal Ilmiah Ilmu-Ilmu Keislaman ,The Graduate School of Antasari State Islamic University of Banjarmasin,Indonesia,No,NA,DOI,2015,"Arabic, English, Indonesian, Malay",Double blind peer review,Yes,12,CC BY-SA,True,No
Kalimah,Universitas Darussalam Gontor,Indonesia,No,NA,,2013,"Arabic, Indonesian",Peer review,Yes,4,CC BY-NC-SA,False,No
Forum Ilmu Sosial,Universitas Negeri Semarang,Indonesia,No,NA,,2008,"English, Indonesian",Peer review,NA,24,CC BY,False,No
Konselor,Universitas Negeri Padang,Indonesia,Yes,NA,,2012,Indonesian,Double blind peer review,NA,12,CC BY,False,No
Cadernos de Letras da UFF,Universidade Federal Fluminense,Brazil,No,NA,,2014,Portuguese,Double blind peer review,NA,24,CC BY-NC,False,No
Estudos Linguísticos,Grupo de Estudos Linguísticos do Estado de São Paulo,Brazil,No,NA,,2011,Portuguese,Double blind peer review,NA,30,CC BY-NC,False,No
Doxa,Universidade Estadual Paulista,Brazil,No,NA,DOI,2017,"Portuguese, Spanish; Castilian",Double blind peer review,NA,18,CC BY-NC-SA,False,No
Revista de Italianística,Universidade de São Paulo,Brazil,No,NA,DOI,1993,"Italian, Portuguese",Double blind peer review,NA,24,CC BY-NC-ND,False,No
Rua,Universidade de Campinas,Brazil,No,NA,,2008,"French, Portuguese, Spanish; Castilian",Double blind peer review,NA,12,CC BY-NC,False,No
Revista Brasileira de Educação,Associacao Nacional de Pós-Graduação e Pesquisa em Educação,Brazil,No,NA,DOI,2000,Portuguese,Peer review,Yes,12,CC BY,False,No
Estudos de Psicologia (Natal) ,Universidade Federal do Rio Grande do Norte,Brazil,No,NA,DOI,1997,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,22,CC BY,False,No
Brazilian Journal of Physical Therapy,Associação Brasileira de Pesquisa e Pós-Graduação em Fisioterapia,Brazil,No,NA,DOI,2006,English,Double blind peer review,Yes,27,CC BY,False,No
Juris,Universidade Federal do Rio Grande,Brazil,No,NA,,2005,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,15,CC BY,False,No
Intercâmbio,Pontificia Universidade Católica de São Paulo,Brazil,No,NA,,1996,Portuguese,Peer review,NA,24,CC BY-NC-SA,False,No
Estudos do CEPE,Universidade de Santa Cruz do Sul,Brazil,No,NA,DOI,2007,Portuguese,Double blind peer review,NA,24,CC BY,False,No
Engenharia Sanitaria e Ambiental,Brazilian Association of Sanitary and Environmental Engineering,Brazil,Yes,NA,DOI,2004,"English, Portuguese",Peer review,NA,52,CC BY,False,No
Boletim de Ciências Geodésicas,Universidade Federal do Paraná,Brazil,No,NA,,1997,Portuguese,Peer review,NA,15,CC BY,True,No
Organizações &  Sociedade,Universidade Federal da Bahia,Brazil,No,NA,DOI,2000,"English, French, Portuguese, Spanish; Castilian",Double blind peer review,NA,48,CC BY,True,No
Revista Brasileira de Educação Especial,Associação Brasileira de Pesquisadores em Educação Especial ,Brazil,No,NA,,2005,Portuguese,Peer review,NA,12,CC BY,False,No
Ciência e Agrotecnologia,Universidade Federal de Lavras,Brazil,Yes,NA,DOI,2005,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,12,CC BY,False,No
"Educação, Ciência e Cultura",Centro Universitário La Salle,Brazil,No,NA,DOI,2007,Portuguese,Blind peer review,NA,12,CC BY-NC,True,No
Psicologia em Estudo,Universidade Estadual de Maringá,Brazil,No,NA,DOI,2000,"English, French, Portuguese, Spanish; Castilian",Blind peer review,NA,28,CC BY-NC,False,No
Tempo,Universidade Federal Fluminense,Brazil,No,NA,,2005,Portuguese,Peer review,NA,19,CC BY-NC,False,No
Cadernos Nietzsche,Universidade Federal do Sul da Bahia,Brazil,No,NA,DOI,2011,Portuguese,Blind peer review,NA,30,CC BY-NC,False,No
Acta Ortopédica Brasileira,Sociedade Brasileira de Ortopedia e Traumatologia,Brazil,No,NA,DOI,2000,"English, Portuguese",Double blind peer review,NA,25,CC BY,False,No
Ciência & Saúde Coletiva,Associação Brasileira de Pós-Graduação em Saúde Coletiva,Brazil,No,NA,DOI,1998,"English, Portuguese, Spanish; Castilian",Peer review,NA,12,CC BY,False,No
Psico-USF,Universidade de São Francisco,Brazil,No,NA,DOI,2001,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,36,CC BY,False,No
Psicologia Escolar e Educacional,Associação Brasileira de Psicologia Escolar e Educacional,Brazil,No,NA,DOI,1996,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,48,CC BY,False,No
Brazilian Journal of Infectious Diseases,Elsevier,Netherlands,Yes,Yes,DOI,2001,English,Double blind peer review,Yes,14,CC BY-NC-ND,False,No
Cadernos do IME: Série Estatística ,Universidade do Estado do Rio de Janeiro,Brazil,No,NA,DOI,2006,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,8,CC BY-NC,False,No
Dissertatio,Universidade Federal de Pelotas,Brazil,No,NA,,2007,"English, French, German, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,24,CC BY,True,No
Brazilian Journal of Veterinary Research and Animal Science,Universidade de São Paulo,Brazil,Yes,NA,DOI,1972,"English, Portuguese",Peer review,NA,47,CC BY-NC,False,No
Estudos de Sociologia,"Universidade Estadual Paulista, Faculdade de Ciências e Letras de Araraquara",Brazil,No,NA,,1996,"Portuguese, Spanish; Castilian",Peer review,NA,38,CC BY-NC-ND,False,No
Mediações: Revista de Ciências Sociais,Universidade Estadual de Londrina,Brazil,No,NA,DOI,1996,"English, Portuguese",Double blind peer review,NA,10,CC BY-NC,False,No
Pandaemonium Germanicum: Revista de Estudos Germanísticos,Universidade de São Paulo,Brazil,No,NA,DOI,2009,"English, German, Portuguese, Spanish; Castilian",Double blind peer review,NA,24,CC BY-NC,True,No
Informação & Informação,Universidade Estadual de Londrina,Brazil,No,NA,DOI,1996,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,12,CC BY-NC,False,No
Philósophos : Revista de Filosofia,Universidade Federal de Goiás,Brazil,No,NA,DOI,2001,"English, French, German, Portuguese",Double blind peer review,NA,24,CC BY,True,No
"Interface: Comunicação, Saúde, Educação",Faculdade de Medicina de Botucatu (Unesp),Brazil,Yes,NA,DOI,1997,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,41,CC BY-NC,False,No
História da Educação,Associação Sul-Rio-Grandense de Pesquisadores em História da Educação (ASPHE),Brazil,No,NA,,1997,"Portuguese, Spanish; Castilian",Peer review,NA,48,CC BY-NC,True,No
Avaliação: Revista da Avaliação da Educação Superior,Universidade de Sorocaba,Brazil,No,NA,DOI,2007,"English, Portuguese, Spanish; Castilian",Peer review,NA,28,CC BY-NC,False,No
Principia: An International Journal of Epistemology,Universidade Federal de Santa Catarina,Brazil,No,NA,,1997,"English, French, Portuguese, Spanish; Castilian",Blind peer review,NA,18,CC BY-NC-ND,True,No
Cadernos de Saúde Coletiva,Instituto de Estudos em Saúde Coletiva da Universidade Federal do Rio de Janeiro,Brazil,No,NA,DOI,2013,"English, Portuguese, Spanish; Castilian",Peer review,NA,11,CC BY,False,No
Revista Katálysis,Universidade Federal de Santa Catarina,Brazil,No,NA,,2006,"English, Portuguese, Spanish; Castilian",Peer review,Yes,13,CC BY,False,No
Anuário de Literatura,Universidade Federal de Santa Catarina,Brazil,No,NA,DOI,1993,Portuguese,Peer review,NA,24,CC BY,True,No
Cadernos de Tradução,Universidade Federal de Santa Catarina,Brazil,No,NA,DOI,1996,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,8,CC BY-NC-ND,True,No
História Revista,Universidade Federal de Goiás,Brazil,No,NA,,1996,Portuguese,Peer review,NA,16,CC BY-NC,False,No
Redes,Universidade de Santa Cruz do Sul,Brazil,No,NA,DOI,2007,Portuguese,Peer review,NA,48,CC BY,False,No
Matraga ,Universidade do Estado do Rio de Janeiro,Brazil,No,NA,DOI,2013,"English, French, Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,20,CC BY-NC,False,No
GEOUSP: Espaço e Tempo,Universidade de São Paulo,Brazil,No,Yes,DOI,2004,"Portuguese, Spanish; Castilian",Blind peer review,NA,24,CC BY-NC,True,No
Revista Contracampo,Universidade Federal Fluminense,Brazil,No,NA,,1997,Portuguese,Double blind peer review,NA,21,CC BY,True,No
Ambiente & Sociedade,Associação Nacional de Pós-Graduação e Pesquisa em Ambiente e Sociedade (ANPPAS),Brazil,Yes,NA,DOI,1999,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,25,CC BY-NC,False,No
Escola Anna Nery ,Universidade Federal do Rio de Janeiro,Brazil,Yes,NA,DOI,2005,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,49,CC BY-NC,False,No
Em Pauta: Teoria Social e Realidade Contemporânea,Universidade do Estado do Rio de Janeiro,Brazil,No,NA,,2007,"Portuguese, Spanish; Castilian",Double blind peer review,NA,24,CC BY,False,No
Psicologia,Conselho Federal de Psicologia,Brazil,No,NA,DOI,1982,"English, Portuguese, Spanish; Castilian",Double blind peer review,Yes,48,CC BY,False,No
Educativa ,Universidade Católica de Goiás,Brazil,No,NA,,2006,"English, Portuguese, Spanish; Castilian",Peer review,Yes,16,CC BY-NC-ND,True,No
Floresta e Ambiente,Universidade Federal Rural do Rio de Janeiro,Brazil,No,NA,DOI,2013,"English, Portuguese",Peer review,NA,31,CC BY,False,No
Working Papers em Linguística,"Universidade Federal de Santa Catarina, Programa de Pós-Graduação em Linguística",Brazil,No,NA,DOI,1997,Portuguese,Blind peer review,NA,26,CC BY-NC,False,No
Ensaio Pesquisa em Educação em Ciências,Universidade Federal de Minas Gerais,Brazil,No,NA,DOI,1999,"French, Portuguese, Spanish; Castilian",Double blind peer review,Yes,37,CC BY,False,No
REME: Revista Mineira de Enfermagem,Universidade Federal de Minas Gerais,Brazil,Yes,Yes,,1997,"English, Portuguese",Double blind peer review,Yes,20,CC BY,False,No
Vértices,Essentia Editora,Brazil,No,NA,DOI,1997,"English, Portuguese",Double blind peer review,NA,33,CC BY,False,No
Revista Brasileira Multidisciplinar - ReBraM /Brazilian Multidisciplinay Journal ,"Maria Lúcia Ribeiro,",Brazil,No,NA,,2015,Portuguese,Blind peer review,NA,3,CC BY,False,No
Revista Brasileira de Engenharia Agrícola e Ambiental - Agriambi,Universidade Federal de Campina Grande,Brazil,Yes,NA,DOI,2000,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,10,CC BY,False,No
Manuscrítica,Universidade de São Paulo ,Brazil,No,NA,,2001,Portuguese,Double blind peer review,NA,8,CC BY,False,No
Pensar a Prática,Universidade Federal de Goiás,Brazil,No,NA,,1998,Portuguese,Peer review,NA,28,CC BY-NC,True,No
Revista Latinoamericana de Psicopatologia Fundamental,Associação Universitária de Pesquisa em Psicopatologia Fundamental,Brazil,No,NA,,2007,"English, Portuguese",Peer review,NA,18,CC BY-NC,False,No
Genetics and Molecular Biology,Sociedade Brasileira de Genética,Brazil,Yes,NA,,1998,English,Peer review,NA,16,CC BY-NC,False,No
Revista de Nutrição,Pontifícia Universidade Católica de Campinas,Brazil,No,NA,DOI,1997,"English, Portuguese, Spanish; Castilian",Peer review,NA,13,CC BY,False,No
Revista Dental Press de Ortodontia e Ortopedia Facial ,Dental Press Editora,Brazil,NA,NA,,2004,NA,NA,NA,NA,CC BY-NC,NA,No
Tecno-Lógica,Universidade de Santa Cruz do Sul,Brazil,No,NA,,2007,Portuguese,Peer review,NA,24,CC BY,False,No
Scientia Iuris,Universidade Estadual de Londrina,Brazil,No,NA,DOI,1997,Portuguese,Blind peer review,NA,6,CC BY-NC,False,No
RAC: Revista de Administração Contemporânea,Associação Nacional de Pós-Graduação e Pesquisa em Administração (ANPAD),Brazil,No,NA,DOI,1997,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,20,CC BY-NC,False,No
Confluência,Liceu Literário Português,Brazil,No,NA,,1991,"French, Italian, Portuguese, Spanish; Castilian",Blind peer review,NA,10,CC BY-NC-ND,True,No
Geo UERJ,Universidade do Estado do Rio de Janeiro,Brazil,No,NA,DOI,2007,"English, Italian, Portuguese, Spanish; Castilian",Blind peer review,NA,8,CC BY-NC-SA,True,No
Transportes,Associação Nacional de Pesquisa e Ensino em Transportes (ANPET),Brazil,No,NA,DOI,1993,"English, Portuguese, Spanish; Castilian",Double blind peer review,NA,10,CC BY,True,No
Revista Brasileira de Epidemiologia,Associação Brasileira de Pós-Graduação em Saúde Coletiva,Brazil,No,NA,DOI,1998,"English, Portuguese",Peer review,NA,21,CC BY-NC,False,No
Revista Brasileira de Cineantropometria e Desempenho Humano,Universidade Federal de Santa Catarina,Brazil,No,NA,DOI,1999,"English, Portuguese",Blind peer review,Yes,20,CC BY,False,No
Sociedade e Cultura,Universidade Federal de Goiás,Brazil,No,NA,,1998,"English, Portuguese, Spanish; Castilian",Blind peer review,NA,16,CC BY,True,No
A Cor das Letras,Universidade Estadual de Feira de Santana,Brazil,No,NA,DOI,1997,"Portuguese, Spanish; Castilian",Peer review,NA,4,CC BY-NC-SA,False,No
Revista de Economia Contemporânea,Universidade Federal do Rio de Janeiro,Brazil,No,NA,,2005,"English, Portuguese, Spanish; Castilian",Peer review,NA,22,CC BY,False,No
Educação & Linguagem,Universidade Metodista de São Paulo ,Brazil,No,NA,DOI,2007,Portuguese,Peer review,NA,15,CC BY-NC,True,No
Electronic Journal of Qualitative Theory of Differential Equations,University of Szeged,Hungary,No,NA,DOI,1998,English,Blind peer review,NA,25,CC BY,False,No
Studies in Agricultural Economics,Research Institute of Agricultural Economics,Hungary,No,NA,DOI,1997,English,Double blind peer review,NA,13,Publisher's own license,False,No
Belvedere Meridionale,Belvedere Meridionale LTD.,Hungary,No,NA,DOI,2007,"English, French, Hungarian",Peer review,Yes,8,CC BY-SA,True,No
Molecules,MDPI AG,Switzerland,Yes,NA,DOI,1997,English,Blind peer review,Yes,11,CC BY,True,Yes
Kidney & Blood Pressure Research,Karger Publishers,Switzerland,Yes,NA,DOI,2013,English,Blind peer review,Yes,16,CC BY-NC-ND,False,No
Molbank,MDPI AG,Switzerland,Yes,NA,DOI,2002,English,Blind peer review,Yes,11,CC BY,True,Yes
Cardiovascular Medicine ,EMH Swiss Medical Publishers Ltd.,Switzerland,No,NA,DOI,2004,"English, French, German",Blind peer review,Yes,12,CC BY-NC-ND,False,No
Diversity,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,True,Yes
MedienPädagogik: Zeitschrift für Theorie und Praxis der Medienbildung,MedienPädagogik,Switzerland,No,NA,DOI,2000,"English, German",Double blind peer review,NA,30,CC BY,True,No
Swiss Medical Forum = Schweizerisches Medizin-Forum,EMH Swiss Medical Publishers Ltd.,Switzerland,No,NA,DOI,2001,German,Blind peer review,NA,12,CC BY-NC-ND,False,No
Swiss Medical Weekly,EMH Swiss Medical Publishers Ltd.,Switzerland,No,NA,DOI,2001,English,Blind peer review,Yes,10,CC BY-NC-ND,False,No
Sensors,MDPI AG,Switzerland,Yes,NA,DOI,2001,English,Blind peer review,Yes,11,CC BY,True,No
Pharmaceuticals,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,True,Yes
Neurosignals,Karger Publishers,Switzerland,Yes,NA,DOI,2013,English,Blind peer review,Yes,10,CC BY-NC-ND,False,No
Cellular & Molecular Biology Letters ,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,14,CC BY,True,Yes
Central European Journal of Immunology,Termedia Publishing House,Poland,Yes,NA,DOI,2002,English,Double blind peer review,Yes,12,CC BY-NC-ND,False,No
New Medicine,Borgis,Poland,Yes,NA,DOI,2009,English,Peer review,Yes,12,CC BY,False,No
Contemporary Oncology,Termedia Publishing House,Poland,Yes,NA,DOI,1999,English,Double blind peer review,Yes,24,CC BY-NC-SA,True,No
Journal of Theoretical and Applied Mechanics,Polish Society of Theoretical and Applied Mechanics,Poland,No,NA,DOI,2006,English,Blind peer review,NA,36,CC BY-NC,False,No
Landform Analysis,Bogucki Wydawnictwo Naukowe,Poland,Yes,NA,DOI,1997,"English, Polish",Double blind peer review,NA,20,CC BY-NC-ND,False,No
American Studies Journal ,Göttingen University Press,Germany,No,NA,DOI,2007,English,Peer review,NA,20,CC BY-SA,False,No
Zeitschrift für Kristallographie - New Crystal Structures,De Gruyter,Germany,Yes,NA,DOI,1997,English,Peer review,NA,16,CC BY-NC-ND,True,No
Living Reviews in Relativity,Springer,Germany,No,NA,DOI,1998,English,Blind peer review,Yes,20,CC BY,True,Yes
European Physical Journal C: Particles and Fields,Springer,Germany,No,NA,DOI,2014,English,Blind peer review,Yes,12,CC BY,True,Yes
Zoosystematics and Evolution,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2014,English,Peer review,NA,16,CC BY,True,Yes
Deutsche Entomologische Zeitschrift,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2014,English,Peer review,NA,12,CC BY,True,Yes
Liber Quarterly: The Journal of European Research Libraries,Utrecht University Library Open Access Journals (Publishing Services),Netherlands,No,NA,DOI,1999,English,Double blind peer review,NA,6,CC BY,True,Yes
Demographic Research,Max Planck Institute for Demographic Research,Germany,No,NA,DOI,1999,English,Double blind peer review,NA,28,CC BY-NC,True,No
Helgoland Marine Research,BioMed Central,United Kingdom,No,NA,DOI,2016,English,Blind peer review,Yes,3,CC BY,True,Yes
Forum: Qualitative Social Research,FQS ,Germany,No,NA,URN,2000,"English, German, Spanish; Castilian",Double blind peer review,NA,20,CC BY,True,Yes
Journal of Medical Internet Research,JMIR Publications,Canada,Yes,Yes,DOI,1999,English,Peer review,NA,12,CC BY,True,No
M/C Journal,Queensland University of Technology,Australia,No,NA,,1998,English,Double blind peer review,NA,8,CC BY-NC-ND,True,No
Transformations,Central Queensland University,Australia,No,NA,,2000,English,Double blind peer review,NA,15,CC BY-NC-SA,True,No
Journal of Research for Consumers,Journal of Research for Consumers,New Zealand,No,NA,,2001,English,Double blind peer review,NA,20,CC BY,False,No
Reproductive Medicine and Biology,Wiley,Japan,Yes,Yes,DOI,2002,English,Blind peer review,Yes,20,CC BY-NC-ND,True,No
The Journal of Global Positioning Systems,Springer,United Kingdom,No,NA,DOI,2016,English,Double blind peer review,NA,5,CC BY,True,Yes
Cultural Studies Review,UTS ePRESS,Australia,No,NA,DOI,2010,English,Double blind peer review,Yes,52,CC BY,True,Yes
